emp_no,first_name,last_name,title,dept_name,from_date,to_date
84942,Shin,Fujisaki,Technique Leader,Quality Management,1988-02-23,9999-01-01
85216,Ferdinand,Rosiles,Senior Staff,Finance,1997-07-08,9999-01-01
85288,Younwoo,Luders,Engineer,Quality Management,1998-12-08,9999-01-01
85414,Chiradeep,Callaway,Staff,Finance,1999-07-30,9999-01-01
85445,Yongdong,Pollock,Staff,Sales,1998-03-17,9999-01-01
85702,Udi,Merks,Engineer,Quality Management,1997-08-15,9999-01-01
85874,Pasqua,Taubman,Senior Staff,Customer Service,1986-06-23,9999-01-01
86213,Kristine,Clemencon,Senior Staff,Marketing,1993-06-01,9999-01-01
86354,Ronghao,Segond,Senior Engineer,Development,1993-09-13,9999-01-01
86422,Jaewon,Thummel,Senior Staff,Marketing,1985-09-14,9999-01-01
86546,Oldrich,Woycyznski,Engineer,Production,1985-05-15,9999-01-01
86655,Zhenhua,Lorys,Engineer,Production,1995-08-21,9999-01-01
86672,JoAnne,Anido,Staff,Research,1995-09-15,9999-01-01
87129,Keung,Neiman,Staff,Sales,1997-04-13,9999-01-01
87353,Quingbo,Coombs,Senior Engineer,Development,1999-01-17,9999-01-01
87714,Khun,Janetzko,Assistant Engineer,Production,1989-09-13,9999-01-01
87729,Yongmin,Roccetti,Senior Staff,Research,1986-12-10,9999-01-01
87783,Conor,Thorensen,Senior Engineer,Development,1988-02-24,9999-01-01
88103,Goo,Bresenham,Senior Staff,Sales,1999-01-31,9999-01-01
88411,Lena,Cannane,Engineer,Development,2000-01-28,9999-01-01
88422,Jungsoon,Birsak,Technique Leader,Production,1985-04-03,9999-01-01
88647,Vasiliy,Ratnaker,Engineer,Development,1995-08-09,9999-01-01
88958,Vojin,Coombs,Senior Staff,Finance,1995-07-23,9999-01-01
88965,Mang,Hedayat,Engineer,Development,1995-05-22,9999-01-01
89048,Otmar,Birjandi,Engineer,Development,1985-03-23,9999-01-01
89090,Tetsushi,Theuretzbacher,Senior Staff,Human Resources,1990-02-01,9999-01-01
89161,Conal,Yetto,Senior Staff,Finance,1991-01-12,9999-01-01
89207,Along,Erol,Senior Staff,Human Resources,1992-10-16,9999-01-01
89346,Mansur,Comyn,Engineer,Development,1999-08-31,9999-01-01
89590,Guther,Rothenberg,Senior Staff,Research,1991-08-08,9999-01-01
89664,Pranjal,Rossi,Staff,Marketing,1998-07-07,9999-01-01
89680,Aiman,Mawatari,Engineer,Production,1988-05-01,9999-01-01
89806,Xiadong,Shinomoto,Engineer,Production,1997-05-24,9999-01-01
89922,Alexius,Ibel,Engineer,Production,1988-04-24,9999-01-01
89941,Arnould,Weedman,Senior Staff,Marketing,1989-07-28,9999-01-01
90077,Vivian,Guerreiro,Assistant Engineer,Development,1991-07-08,9999-01-01
90084,Renny,Bale,Engineer,Production,1989-11-22,9999-01-01
90211,Bader,Denis,Engineer,Production,1997-10-06,9999-01-01
90292,Koichi,Assaf,Engineer,Production,1990-05-26,9999-01-01
90518,Fumiko,Chepyzhov,Senior Staff,Customer Service,1988-01-28,9999-01-01
90614,Yonghoan,Trogemann,Assistant Engineer,Production,1988-09-23,9999-01-01
90692,Rajmohan,DasSarma,Senior Staff,Marketing,1985-09-14,9999-01-01
91172,Kazuhisa,Melter,Senior Staff,Customer Service,1987-07-16,9999-01-01
91182,Lucien,Schwartzburd,Engineer,Development,1988-08-25,9999-01-01
91229,Yahiko,Hebden,Engineer,Production,1996-10-03,9999-01-01
91256,Gunilla,Milicic,Staff,Marketing,1998-01-09,9999-01-01
91333,Lobel,Stafford,Staff,Sales,1998-11-29,9999-01-01
91415,Jamaludin,Nilsson,Senior Staff,Sales,1987-01-15,9999-01-01
91648,Dmitry,Msuda,Senior Staff,Marketing,1988-10-22,9999-01-01
92438,Aria,Kilgore,Engineer,Customer Service,1992-04-11,9999-01-01
92454,Visit,McFarlan,Engineer,Quality Management,1987-10-22,9999-01-01
92577,Zhanqiu,Farrow,Assistant Engineer,Production,1999-01-10,9999-01-01
92598,Ranga,Merro,Assistant Engineer,Production,1996-05-11,9999-01-01
92685,Mang,Atchley,Senior Staff,Sales,1995-06-07,9999-01-01
92841,Claude,Candan,Senior Staff,Sales,1993-08-04,9999-01-01
92846,Anyuan,Kropatsch,Senior Staff,Marketing,1986-09-05,9999-01-01
92920,Huei,Hutter,Engineer,Development,1993-01-28,9999-01-01
93040,Jaques,Kabayashi,Senior Engineer,Development,1992-03-13,9999-01-01
93220,Richara,Walston,Senior Engineer,Quality Management,1996-08-27,9999-01-01
93278,Magdalena,Penn,Engineer,Production,1997-01-04,9999-01-01
93549,Arie,Coullard,Senior Staff,Sales,2000-03-28,9999-01-01
93600,Kristina,Neimat,Technique Leader,Production,1988-04-18,9999-01-01
94331,Ramzi,Cronau,Technique Leader,Production,1999-09-03,9999-01-01
94416,Aran,Cesareni,Senior Staff,Sales,2001-11-20,9999-01-01
94761,Hitofumi,Zaccaria,Engineer,Development,1988-11-22,9999-01-01
94944,Heping,Matheson,Engineer,Development,1988-06-24,9999-01-01
95181,Yishai,Cappelli,Staff,Research,1997-01-30,9999-01-01
95286,Kristin,Guerreiro,Engineer,Development,1989-08-23,9999-01-01
95314,Rasiah,Koblick,Senior Staff,Sales,1991-08-21,9999-01-01
95406,Alair,Lyonns,Engineer,Development,1997-07-12,9999-01-01
95416,Gianluca,Ramaiah,Engineer,Development,1993-11-29,9999-01-01
95509,Kristinn,Loncour,Engineer,Production,1995-02-08,9999-01-01
95920,Nobuyoshi,Hegner,Senior Staff,Finance,1994-09-07,9999-01-01
96571,Kokou,Garrabrants,Senior Engineer,Production,1997-11-05,9999-01-01
96579,Mohan,Tasistro,Engineer,Production,1996-02-10,9999-01-01
96767,Arumugam,Vecchio,Engineer,Production,1985-08-14,9999-01-01
97018,Jeanna,Chinen,Engineer,Production,1989-01-01,9999-01-01
97623,Haldon,Janetzko,Senior Staff,Human Resources,1990-09-11,9999-01-01
97661,Avishai,Hegner,Senior Staff,Research,1993-05-08,9999-01-01
98288,Sumali,Huttel,Senior Staff,Research,1989-09-12,9999-01-01
98306,Ziya,Kadhim,Senior Engineer,Production,1999-06-24,9999-01-01
98639,Florina,Assaf,Staff,Research,1996-05-18,9999-01-01
99057,Shugo,Reeken,Staff,Customer Service,1999-06-21,9999-01-01
99373,Xiaobin,Christianini,Senior Staff,Customer Service,1985-12-25,9999-01-01
99377,Carrsten,Francisci,Senior Engineer,Development,1991-06-16,9999-01-01
99590,Dhritiman,Anily,Staff,Sales,1998-12-16,9999-01-01
99654,Mahendra,Motley,Senior Staff,Research,1985-09-28,9999-01-01
100865,Hisao,Peral,Engineer,Production,1990-10-03,9999-01-01
100916,Heejo,Aamodt,Engineer,Development,1992-04-22,9999-01-01
101487,Abdelaziz,Sury,Senior Staff,Sales,1991-01-31,9999-01-01
101647,Mori,Homond,Senior Staff,Sales,1994-05-10,9999-01-01
101902,Mantis,Millington,Senior Staff,Sales,1991-03-18,9999-01-01
102620,Adin,Templeman,Engineer,Quality Management,1999-08-12,9999-01-01
103196,Djenana,Albarhamtoshy,Senior Staff,Human Resources,1988-07-16,9999-01-01
103310,Visit,Swen,Senior Staff,Marketing,1995-10-02,9999-01-01
103316,Susanne,Peternell,Engineer,Development,1994-07-27,9999-01-01
103342,Beshir,Hellwagner,Engineer,Quality Management,1998-02-03,9999-01-01
103756,Heping,Halloran,Assistant Engineer,Development,1992-04-08,9999-01-01
104133,Pranjal,Zyda,Senior Staff,Sales,1991-07-03,9999-01-01
104845,Werner,Lodder,Senior Staff,Finance,1992-06-17,9999-01-01
104988,Parviz,Litzler,Engineer,Development,1992-08-08,9999-01-01
105342,Kwun,Reeker,Technique Leader,Quality Management,1999-07-29,9999-01-01
105356,Diederik,Matzov,Engineer,Research,1995-03-08,9999-01-01
105432,Mohamadou,Stafford,Engineer,Development,1995-09-12,9999-01-01
105520,Haldun,Lienhardt,Senior Staff,Sales,1987-01-29,9999-01-01
105731,Sachem,Cromarty,Assistant Engineer,Development,1990-08-20,9999-01-01
106096,Naftali,Schurmann,Engineer,Production,1992-12-02,9999-01-01
106242,Nevio,Thisen,Senior Staff,Human Resources,1988-03-25,9999-01-01
106695,Lijie,Garrabrants,Senior Staff,Development,1988-10-26,9999-01-01
106710,Babette,Anandan,Senior Staff,Marketing,1986-11-22,9999-01-01
107486,Siamak,Luiz,Senior Engineer,Development,1987-02-11,9999-01-01
107737,Fabrizio,Chleq,Senior Engineer,Development,1999-07-31,9999-01-01
107792,Shahab,Crooks,Senior Staff,Marketing,1992-03-18,9999-01-01
107828,Ramya,Walston,Senior Staff,Sales,1989-02-03,9999-01-01
108091,Hisao,Ghemri,Senior Staff,Customer Service,1985-11-14,9999-01-01
108198,Randi,Samarati,Senior Staff,Research,1992-10-20,9999-01-01
108316,Shai,Stellhorn,Senior Engineer,Production,1992-05-21,9999-01-01
108988,Oksana,Baek,Senior Staff,Sales,1989-07-20,9999-01-01
109062,Jamaludin,Kandlur,Senior Engineer,Development,1992-06-19,9999-01-01
109211,Gor,Delgrande,Engineer,Research,2002-06-18,9999-01-01
109252,Moty,Winter,Technique Leader,Production,1991-04-28,9999-01-01
109278,Bangqing,Schach,Senior Staff,Finance,1988-03-22,9999-01-01
109552,Menkae,Etalle,Assistant Engineer,Development,1997-05-21,9999-01-01
109598,Stamatina,Auyong,Senior Staff,Finance,1988-07-05,9999-01-01
109620,Mani,Cannata,Senior Staff,Sales,1989-06-21,9999-01-01
109703,Arco,Walston,Engineer,Production,1999-08-16,9999-01-01
109741,Hatem,Fadgyas,Senior Engineer,Production,1991-11-13,9999-01-01
109953,Godehard,Chorvat,Senior Staff,Sales,1988-04-10,9999-01-01
200267,Chuanti,Luff,Senior Staff,Customer Service,1994-09-21,9999-01-01
200312,Akemi,Fujisaki,Senior Engineer,Quality Management,2001-11-13,9999-01-01
200363,Kirk,Quaggetto,Engineer,Development,1987-06-30,9999-01-01
200735,Dinah,Denos,Senior Staff,Marketing,1992-09-21,9999-01-01
200789,Susumu,Camurati,Senior Staff,Marketing,1991-12-15,9999-01-01
201229,Alejandra,Khasidashvili,Staff,Human Resources,1994-07-30,9999-01-01
201708,Anneli,Perl,Senior Staff,Human Resources,1992-09-08,9999-01-01
201709,Fan,Kakkad,Senior Staff,Finance,1988-02-25,9999-01-01
201739,Genta,Terekhov,Assistant Engineer,Development,1998-07-21,9999-01-01
201801,Waiman,Genin,Engineer,Development,1988-10-30,9999-01-01
201915,Sudharsan,DeMori,Engineer,Production,1992-03-30,9999-01-01
202291,Ortrun,Schmiedel,Engineer,Production,1997-07-18,9999-01-01
202403,Gully,Perko,Engineer,Production,1999-07-07,9999-01-01
202414,Zvonko,Murthy,Senior Staff,Customer Service,1992-01-07,9999-01-01
202552,Morris,Saoudi,Engineer,Production,1991-11-22,9999-01-01
202826,Kerhong,Matzke,Engineer,Development,1986-11-14,9999-01-01
202882,Isaac,Koshino,Senior Engineer,Development,1995-09-28,9999-01-01
202950,Giordano,Pietrzykowski,Senior Staff,Human Resources,1987-03-26,9999-01-01
203474,Hugh,Jonsson,Senior Staff,Sales,1991-07-06,9999-01-01
203495,Zongyan,Gips,Technique Leader,Development,1997-05-31,9999-01-01
203599,Ewing,DiGiano,Technique Leader,Development,2000-02-01,9999-01-01
203720,Sasan,Thimonier,Senior Staff,Sales,1996-08-21,9999-01-01
203946,Yefim,Marwedel,Senior Staff,Human Resources,1993-03-30,9999-01-01
204117,Jessie,Nooteboom,Staff,Customer Service,2000-12-13,9999-01-01
204133,Susuma,Bergere,Senior Staff,Finance,1996-02-25,9999-01-01
204246,Arve,Worfolk,Senior Staff,Research,1985-04-01,9999-01-01
204425,Gretta,Huttel,Senior Engineer,Development,1990-10-08,9999-01-01
204470,Hein,Lichtner,Senior Staff,Customer Service,1998-05-02,9999-01-01
204471,Franziska,Maginnis,Engineer,Development,1986-02-17,9999-01-01
204764,Susanne,Mandelberg,Engineer,Development,1990-11-02,9999-01-01
205018,Yahiko,Awdeh,Engineer,Quality Management,1998-08-05,9999-01-01
205085,Moni,Kornyak,Technique Leader,Development,1991-09-26,9999-01-01
205174,Leszek,Spinelli,Staff,Marketing,1998-12-10,9999-01-01
205500,Mary,Setiz,Senior Engineer,Development,1989-01-13,9999-01-01
205627,Stabislas,Broder,Engineer,Production,1996-07-16,9999-01-01
205660,Kien,Barreiro,Staff,Marketing,2000-10-24,9999-01-01
205699,Youjian,Yetto,Senior Staff,Sales,1994-12-07,9999-01-01
205789,Limsoon,Skafidas,Senior Staff,Finance,1999-08-10,9999-01-01
205863,Aiichiro,Kusalik,Engineer,Quality Management,1990-10-04,9999-01-01
206748,Yucai,Fabrizio,Staff,Sales,1999-10-06,9999-01-01
206836,Guadalupe,Pfau,Senior Staff,Research,1993-03-22,9999-01-01
206966,Tzu,Sichman,Engineer,Development,1987-11-17,9999-01-01
207021,Jacqueline,Akaboshi,Engineer,Production,1997-12-06,9999-01-01
207068,Zhiguo,Ariola,Senior Staff,Marketing,1994-09-07,9999-01-01
207204,Kellie,Schrooten,Assistant Engineer,Development,1991-01-17,9999-01-01
207401,Shuji,Barbanera,Senior Staff,Research,1987-08-10,9999-01-01
207551,Baziley,Falck,Assistant Engineer,Development,1995-02-18,9999-01-01
207779,Chinya,Kamble,Senior Staff,Research,1992-05-31,9999-01-01
207980,Remko,Vieth,Senior Staff,Human Resources,1990-11-22,9999-01-01
208147,Manu,Rothenberg,Engineer,Development,1988-12-06,9999-01-01
208330,Shen,Flanders,Senior Staff,Sales,1989-07-03,9999-01-01
208639,Larisa,Lukaszewicz,Senior Staff,Customer Service,1996-10-30,9999-01-01
208653,Phillip,Schade,Engineer,Development,1989-03-03,9999-01-01
208784,Pranjal,Juneja,Senior Engineer,Production,1985-03-21,9999-01-01
209101,Xinyu,Edelhoff,Senior Engineer,Quality Management,1997-10-26,9999-01-01
209443,Krassimir,Garnier,Senior Staff,Human Resources,1998-01-26,9999-01-01
209565,Dante,Covnot,Senior Staff,Marketing,1989-05-28,9999-01-01
209712,Nimmagadda,Baak,Assistant Engineer,Development,1987-10-30,9999-01-01
210017,Shalesh,Lovengreen,Senior Staff,Human Resources,1990-09-29,9999-01-01
210292,Lihong,Zeilberger,Staff,Human Resources,1996-04-28,9999-01-01
210449,Gino,Lagarias,Engineer,Production,1997-06-22,9999-01-01
210752,Saniya,Stenning,Senior Staff,Marketing,1986-12-10,9999-01-01
210786,Werner,Ranze,Staff,Human Resources,1998-06-05,9999-01-01
211858,Domenico,Ratnaker,Engineer,Production,1985-03-24,9999-01-01
211879,Gao,Ranze,Engineer,Development,1994-11-24,9999-01-01
211967,Anwar,Bain,Engineer,Development,1989-01-22,9999-01-01
212093,Leni,Henders,Senior Staff,Human Resources,1993-11-19,9999-01-01
212154,Sailaja,Holburn,Senior Staff,Customer Service,1991-03-04,9999-01-01
212361,Claudi,Stanfel,Engineer,Quality Management,1996-01-07,9999-01-01
213016,Yongmao,Fontan,Engineer,Development,1993-07-26,9999-01-01
213140,Tru,Danecki,Staff,Sales,1997-03-31,9999-01-01
213384,Pranas,Narwekar,Engineer,Development,1985-09-26,9999-01-01
213447,Armond,Perly,Engineer,Production,1989-09-14,9999-01-01
214215,Xiaoqiang,Cardazo,Senior Staff,Sales,1993-05-28,9999-01-01
214391,Rayond,Klassen,Senior Staff,Customer Service,1993-09-11,9999-01-01
214427,Peer,Molberg,Engineer,Production,1996-11-17,9999-01-01
214539,Ingmar,Kohling,Engineer,Development,1995-04-25,9999-01-01
214634,Shirish,Vickson,Engineer,Development,1989-10-24,9999-01-01
214789,Arfst,Chepyzhov,Engineer,Production,1989-02-06,9999-01-01
214866,Gopalakrishnan,Angel,Engineer,Development,1997-07-05,9999-01-01
214995,Dinkar,Hoppenstand,Engineer,Production,1994-05-04,9999-01-01
215419,Flemming,Kroha,Staff,Human Resources,1995-01-23,9999-01-01
215629,Munehiro,Manders,Senior Staff,Customer Service,1987-05-18,9999-01-01
215746,Sven,Speer,Staff,Finance,1999-07-08,9999-01-01
215843,Pramod,Loncour,Senior Staff,Marketing,1987-03-31,9999-01-01
216054,Sahrah,Angiulli,Senior Staff,Research,1986-07-31,9999-01-01
216342,Aiichiro,Cromarty,Engineer,Development,1995-06-10,9999-01-01
216375,Byong,Gustavson,Senior Engineer,Development,1985-03-12,9999-01-01
216502,Xiaocheng,Suermann,Engineer,Development,1997-12-15,9999-01-01
216573,Ashish,Vidya,Engineer,Production,1989-06-16,9999-01-01
216921,Lena,Lenart,Senior Staff,Sales,1990-12-25,9999-01-01
217026,Otmar,Engberts,Senior Staff,Sales,1993-08-16,9999-01-01
217080,Masami,Puoti,Senior Engineer,Development,2000-01-21,9999-01-01
217272,Yuchang,Eldridge,Senior Staff,Sales,1986-08-01,9999-01-01
217286,Yannik,Spelt,Technique Leader,Development,1992-09-22,9999-01-01
217320,Abdelwaheb,Denis,Engineer,Quality Management,1993-09-10,9999-01-01
217363,Horward,Marzano,Staff,Customer Service,1996-04-11,9999-01-01
217387,Jianhao,Molenaar,Engineer,Development,1987-10-22,9999-01-01
217551,Panayotis,Lukaszewicz,Engineer,Production,1989-06-06,9999-01-01
217800,Shay,Servieres,Senior Staff,Finance,1998-08-06,9999-01-01
218022,Mokhtar,Poupard,Technique Leader,Development,1992-02-02,9999-01-01
218100,Jiong,Garnham,Senior Staff,Human Resources,1990-01-02,9999-01-01
218831,Unal,DuBourdieux,Engineer,Production,1996-03-13,9999-01-01
219035,Kristine,Bierman,Technique Leader,Quality Management,1988-05-13,9999-01-01
219047,Aemilian,Kusalik,Engineer,Development,1987-05-27,9999-01-01
219052,Marsal,Acton,Staff,Marketing,1995-08-02,9999-01-01
219417,Subhrajyoti,Denna,Staff,Research,1996-07-25,9999-01-01
219497,Moie,Zastre,Technique Leader,Development,1991-10-11,9999-01-01
219967,Susanna,Reeken,Senior Staff,Human Resources,1998-03-16,9999-01-01
220029,Demos,Asser,Senior Engineer,Development,1985-11-04,9999-01-01
220131,Reinhard,Slaats,Engineer,Development,1994-06-08,9999-01-01
220418,Poorav,Laventhal,Staff,Sales,1997-08-16,9999-01-01
220528,Sibyl,Rabehasaina,Senior Staff,Research,1998-02-23,9999-01-01
220582,Poornachandra,Zielinski,Senior Staff,Marketing,1996-02-13,9999-01-01
220611,Yuping,Babb,Senior Staff,Sales,1995-01-31,9999-01-01
220625,Shigenori,Deville,Technique Leader,Production,1992-12-24,9999-01-01
220699,Nahid,Gyimothy,Staff,Customer Service,1995-08-18,9999-01-01
220799,Perla,Orlowska,Senior Engineer,Research,1998-10-13,9999-01-01
221126,Tesuya,dAstous,Engineer,Development,1988-11-29,9999-01-01
221367,Saddek,Farris,Senior Staff,Customer Service,1990-11-06,9999-01-01
221369,Abdulah,Pocchiola,Engineer,Quality Management,1996-08-28,9999-01-01
221435,Djenana,Marrevee,Engineer,Production,1994-02-06,9999-01-01
221973,Sangeeta,Kalefeld,Senior Staff,Marketing,1990-06-06,9999-01-01
222206,Stein,Uludag,Senior Staff,Human Resources,1988-01-30,9999-01-01
222311,Miyeon,Billingsley,Senior Engineer,Development,1992-12-05,9999-01-01
222319,Matt,Chvatal,Senior Engineer,Development,1994-11-09,9999-01-01
222354,Valdiodio,Schlumberger,Assistant Engineer,Development,1993-08-07,9999-01-01
222616,Badri,Schapire,Assistant Engineer,Quality Management,1998-01-19,9999-01-01
222770,Kazuhiko,Kushner,Senior Engineer,Development,1995-08-01,9999-01-01
222878,Annemarie,Zallocco,Engineer,Production,1996-12-01,9999-01-01
222926,Limsoon,Erol,Senior Engineer,Development,1997-12-31,9999-01-01
222952,Gopalakrishnan,Suermann,Engineer,Production,1991-04-30,9999-01-01
222998,Leaf,Awdeh,Senior Staff,Marketing,1992-10-02,9999-01-01
223593,Hidefumi,Moehrke,Staff,Marketing,1998-03-04,9999-01-01
223595,Chiranjit,Dredge,Technique Leader,Production,1999-09-05,9999-01-01
224135,Annemarie,Bressoud,Engineer,Development,1998-06-23,9999-01-01
224335,Perry,Chachaty,Engineer,Development,1985-07-22,9999-01-01
224390,True,Shobatake,Senior Staff,Research,1996-05-17,9999-01-01
224934,George,Miake,Senior Staff,Human Resources,1988-01-02,9999-01-01
225438,Remmert,Quaggetto,Senior Staff,Sales,1992-04-28,9999-01-01
225601,Masasuke,Genin,Assistant Engineer,Development,1994-06-25,9999-01-01
225788,Ipke,Kieras,Engineer,Development,1995-12-18,9999-01-01
225867,Ramalingam,Remmele,Senior Engineer,Quality Management,1999-09-03,9999-01-01
225964,Mooi,Cooman,Engineer,Production,1989-06-07,9999-01-01
226216,Giordano,Gini,Technique Leader,Quality Management,1993-08-14,9999-01-01
226227,Herbert,Erva,Engineer,Production,1986-09-06,9999-01-01
227354,Gio,Murtha,Engineer,Development,1986-11-11,9999-01-01
227476,Macha,Schnabel,Engineer,Development,1988-05-11,9999-01-01
227681,Mikhail,Rousseau,Staff,Finance,1998-11-30,9999-01-01
227899,Garnik,Luce,Staff,Marketing,1998-09-15,9999-01-01
227901,Francesca,Azuma,Senior Staff,Research,1996-06-08,9999-01-01
228098,IEEE,Kroll,Engineer,Customer Service,1998-02-17,9999-01-01
228248,Yuriy,Plump,Senior Staff,Research,1988-09-08,9999-01-01
228554,Bilhanan,Brendel,Senior Staff,Sales,1990-12-23,9999-01-01
228766,Nahla,Smailagic,Engineer,Production,1993-02-12,9999-01-01
229098,Berry,Yurek,Senior Staff,Customer Service,1995-08-16,9999-01-01
229220,Fabrizio,Lichtman,Engineer,Production,1987-02-09,9999-01-01
229248,Harjit,Terekhov,Staff,Research,1995-10-19,9999-01-01
229386,Pohua,Tasistro,Technique Leader,Customer Service,1994-11-04,9999-01-01
229391,Paloma,Henseler,Engineer,Production,1991-06-11,9999-01-01
229404,Gilbert,Kilgour,Staff,Human Resources,1996-04-05,9999-01-01
229547,Moni,Schach,Senior Staff,Sales,1986-07-04,9999-01-01
229727,Ewing,Millington,Engineer,Development,1999-09-28,9999-01-01
229981,Jamaludin,Fordan,Engineer,Production,1992-02-06,9999-01-01
230002,Tadahiro,Backhouse,Engineer,Development,1991-10-02,9999-01-01
230126,Bezalel,Radivojevic,Senior Staff,Customer Service,1988-07-02,9999-01-01
230287,Renny,Alameldin,Assistant Engineer,Production,1997-09-28,9999-01-01
230354,Yinghua,Lorho,Senior Staff,Human Resources,1991-08-09,9999-01-01
230498,Kolar,Puppo,Engineer,Production,1990-04-25,9999-01-01
230579,Shahar,Negoita,Senior Staff,Finance,1994-03-19,9999-01-01
230689,Dietrich,Crabtree,Senior Staff,Sales,1986-05-24,9999-01-01
230865,Takushi,Brattka,Staff,Marketing,1999-06-03,9999-01-01
231069,Trygve,Siksek,Staff,Sales,1995-11-09,9999-01-01
231459,Nectarios,Pramanik,Assistant Engineer,Production,1999-11-18,9999-01-01
231671,Chandrasekaran,Pearson,Staff,Customer Service,1995-04-14,9999-01-01
231798,Goetz,Alvarado,Engineer,Development,1988-12-25,9999-01-01
232178,Etsuo,Anandan,Senior Staff,Human Resources,1989-12-13,9999-01-01
232209,Nitsan,Rouquie,Engineer,Quality Management,1988-08-01,9999-01-01
232697,Barry,Ramsak,Engineer,Production,1990-09-07,9999-01-01
232723,Tesuya,Bugrara,Assistant Engineer,Quality Management,1993-02-13,9999-01-01
233114,Alselm,Gargeya,Senior Engineer,Development,1987-12-25,9999-01-01
233394,Khalid,Lenart,Engineer,Development,1995-12-24,9999-01-01
233397,Fay,Sundgren,Senior Staff,Sales,1990-07-07,9999-01-01
233426,Etsuo,Usery,Engineer,Development,1995-03-02,9999-01-01
233690,Cedric,Riefers,Engineer,Development,1994-09-08,9999-01-01
233759,Zissis,Lodder,Engineer,Customer Service,2000-05-27,9999-01-01
233765,Kotesh,Chachaty,Engineer,Development,1991-03-25,9999-01-01
233785,Baziley,Ballarin,Senior Staff,Sales,1987-07-28,9999-01-01
233818,Kellie,Heydon,Engineer,Development,1985-11-11,9999-01-01
234195,Luerbio,Terkki,Senior Staff,Sales,1991-05-14,9999-01-01
234739,Foong,Aamodt,Senior Engineer,Production,1986-06-28,9999-01-01
235017,Irena,Dratva,Senior Staff,Sales,1991-09-07,9999-01-01
235096,Sverrir,Gyimothy,Senior Staff,Customer Service,1995-07-30,9999-01-01
235325,Gro,Prochazka,Engineer,Development,1992-10-16,9999-01-01
235368,Anneli,Joslin,Senior Engineer,Production,1987-04-12,9999-01-01
235458,Gio,Heuser,Senior Staff,Research,1992-06-28,9999-01-01
235729,Henk,Anger,Senior Staff,Marketing,1993-01-19,9999-01-01
235780,Sampalli,Bergere,Senior Engineer,Production,1994-04-08,9999-01-01
235793,Jayesh,Spinelli,Senior Engineer,Quality Management,1999-01-16,9999-01-01
236315,IEEE,Raczkowsky,Technique Leader,Development,1996-07-24,9999-01-01
236566,Yechezkel,Maginnis,Senior Staff,Customer Service,1992-12-11,9999-01-01
236591,Insup,Reinhard,Senior Staff,Marketing,1985-04-08,9999-01-01
236827,Almudena,Rijckaert,Engineer,Development,1994-02-16,9999-01-01
236883,Huan,Olivero,Staff,Sales,1999-11-19,9999-01-01
236964,Adel,Foote,Staff,Customer Service,2000-03-20,9999-01-01
238112,Miomir,Frezza,Technique Leader,Production,1991-05-25,9999-01-01
238252,Uno,Suppi,Staff,Sales,1996-12-27,9999-01-01
238422,Vishv,Angelov,Senior Staff,Sales,1988-03-08,9999-01-01
238949,Minghong,Cronin,Senior Staff,Sales,1987-10-04,9999-01-01
239067,Tadahiko,Pocchiola,Staff,Sales,1996-04-02,9999-01-01
239244,Abdulla,Kitai,Senior Staff,Sales,1987-02-20,9999-01-01
239415,Susumu,Brender,Engineer,Production,1993-04-17,9999-01-01
239426,Vesna,Fairtlough,Engineer,Research,2002-05-07,9999-01-01
239664,Sugwoo,Michaels,Engineer,Production,1992-08-02,9999-01-01
239706,Arunas,Bugrara,Assistant Engineer,Production,1997-04-03,9999-01-01
239748,Bilhanan,Dusink,Senior Staff,Sales,1988-06-04,9999-01-01
239803,Oscal,Ernst,Senior Staff,Research,1992-05-19,9999-01-01
240132,Mizuhito,Kobara,Senior Staff,Customer Service,1996-08-09,9999-01-01
240236,True,Tischendorf,Engineer,Production,1986-01-19,9999-01-01
240285,Kolar,Greenaway,Staff,Customer Service,1998-11-14,9999-01-01
240340,Mack,Staylopatis,Engineer,Production,1985-04-02,9999-01-01
240438,Temple,Cyre,Senior Staff,Customer Service,1992-09-30,9999-01-01
240870,Francesca,Chorvat,Senior Staff,Production,1992-03-17,9999-01-01
241100,Cedric,Molenaar,Engineer,Development,1990-10-06,9999-01-01
241254,Jagoda,Anguita,Senior Engineer,Development,1993-05-11,9999-01-01
241292,Uri,Lampe,Senior Staff,Customer Service,2001-12-11,9999-01-01
241567,Emran,Miara,Engineer,Development,1989-05-02,9999-01-01
241667,Atilio,Olivero,Engineer,Production,1985-09-04,9999-01-01
241728,Limsoon,Boudaillier,Senior Engineer,Customer Service,1999-08-08,9999-01-01
241872,Bluma,Fetvedt,Senior Staff,Development,2001-11-14,9999-01-01
242019,Herb,Murrill,Senior Engineer,Production,2001-10-28,9999-01-01
242081,Tomokazu,Pargas,Assistant Engineer,Production,1996-11-15,9999-01-01
242104,Richara,Sudkamp,Senior Staff,Marketing,1989-09-05,9999-01-01
242500,Bingning,Iisaku,Senior Staff,Sales,1989-06-26,9999-01-01
242800,Kazuyasu,Levergood,Engineer,Development,1996-02-10,9999-01-01
243018,Bowen,Deverell,Senior Staff,Marketing,1998-12-27,9999-01-01
243077,Kazunori,Perz,Senior Engineer,Production,1999-02-25,9999-01-01
243576,Abdulah,Lodder,Senior Staff,Sales,1996-11-10,9999-01-01
243637,Marjo,Delgrange,Senior Staff,Marketing,1990-06-24,9999-01-01
243898,Arch,Basawa,Staff,Marketing,1998-05-10,9999-01-01
